SmartScore,Ticker,Price,Market Capitalization,Sector,Industry
7,ZWS,32.76,5634593242.0,Producer Manufacturing,Industrial Machinery
8,ZUO,8.85,1267674054.9999998,Technology Services,Packaged Software
8,ZTS,168.51,77155186965.0,Health Technology,Pharmaceuticals: Major
8,ZTO,21.27,16775383340.31236,Transportation,Air Freight/Couriers
9,ZS,193.48,28994519626.000004,Technology Services,Data Processing Services
5,ZNTL,15.19,1077884906.0,Health Technology,Biotechnology
8,ZM,66.62,20489721170.000004,Technology Services,Packaged Software
6,ZLAB,16.19,1581039725.82598,Health Technology,Biotechnology
N/A,ZKH,16.7,2682254383.0,Retail Trade,Specialty Stores
5,ZIP,11.36,1125483580.0,Technology Services,Internet Software/Services
5,ZION,43.15,6392902250.0,Finance,Major Banks
4,ZIM,10.02,1205614555.0,Transportation,Marine Shipping
6,ZI,15.85,6018285002.0,Technology Services,Packaged Software
6,ZGN,14.52,3627521771.000001,Consumer Non-Durables,Apparel/Footwear
4,ZG,49.61,11704351674.0,Technology Services,Information Technology Services
8,ZETA,10.93,2387295544.0,Technology Services,Packaged Software
3,ZD,63.1,2907108861.0,Technology Services,Internet Software/Services
7,ZBRA,299.16,15371262411.999998,Electronic Technology,Computer Processing Hardware
9,ZBH,132.61,27196191340.000004,Health Technology,Medical Specialties
1,Z,50.38,11704351674.0,Technology Services,Information Technology Services
7,YY,30.25,1841246706.0,Technology Services,Data Processing Services
9,YUMC,38.96,15613563244.0,Consumer Services,Restaurants
5,YUM,137.32,38633099095.0,Consumer Services,Restaurants
8,YPF,20.12,10008667316.294,Energy Minerals,Integrated Oil
6,YOU,21.15,3220134620.0,Technology Services,Packaged Software
8,YMM,7.35,7867592288.0,Technology Services,Packaged Software
5,YETI,38.34,3333029610.0000005,Producer Manufacturing,Miscellaneous Manufacturing
5,YELP,39.1,2669793191.0000005,Technology Services,Internet Software/Services
3,XYL,129.38,31280255662.0,Producer Manufacturing,Industrial Machinery
7,XRX,17.75,2204241320.0,Electronic Technology,Computer Peripherals
7,XRAY,33.31,6907271182.999999,Health Technology,Medical Specialties
6,XPRO,20.02,2207446532.9999995,Energy Minerals,Oil & Gas Production
7,XPO,120.92,14040368861.0,Transportation,Trucking
7,XPEV,7.81,7716198492.5615,Consumer Durables,Motor Vehicles
2,XPEL,56.06,1548999380.0,Consumer Durables,Automotive Aftermarket
9,XP,25.49,13970641762.0,Finance,Investment Banks/Brokers
10,XOM,114.97,456183056919.0,Energy Minerals,Integrated Oil
5,XNCR,22.42,1370316539.0,Health Technology,Biotechnology
6,XHR,15.09,1537805047.0,Finance,Real Estate Investment Trusts
9,XENE,43.0,3243596962.0,Health Technology,Pharmaceuticals: Major
6,XEL,53.38,29634215154.000004,Utilities,Electric Utilities
6,X,41.02,9178370941.0,Non-Energy Minerals,Steel
6,WYNN,101.79,11408446425.0,Consumer Services,Casinos/Gaming
6,WY,35.93,26211689612.0,Finance,Real Estate Investment Trusts
8,WWD,155.28,9363144500.0,Producer Manufacturing,Industrial Machinery
8,WU,13.71,4691519922.000001,Finance,Finance/Rental/Leasing
8,WTW,275.92,28276683872.000004,Finance,Insurance Brokers/Services
5,WTTR,9.15,1081202045.0,Utilities,Water Utilities
4,WTS,211.57,7046362946.0,Producer Manufacturing,Industrial Machinery
10,WTRG,36.8,10065380407.0,Utilities,Water Utilities
6,WTM,1802.99,4606969683.000001,Finance,Multi-Line Insurance
,WTFCP,25.25,6434359587.0,Finance,Regional Banks
,WTFCM,23.65,6434359587.0,Finance,Regional Banks
4,WTFC,104.67,6434359587.0,Finance,Regional Banks
9,WT,8.93,1356053576.0,Miscellaneous,Investment Trusts/Mutual Funds
7,WST,394.1,28850235992.000004,Health Technology,Medical Specialties
,WSO.B,429.35,16846004896.641191,Producer Manufacturing,Building Products
9,WSO,434.28,17171271883.000002,Producer Manufacturing,Building Products
9,WSM,314.02,20132533235.0,Retail Trade,Specialty Stores
4,WSFS,44.97,2710793506.0,Finance,Savings Banks
8,WSC,46.1,8757646310.0,Finance,Finance/Rental/Leasing
,WSBCP,23.8999,1741540128.0,Finance,Regional Banks
6,WSBC,29.33,1741540128.0000002,Finance,Regional Banks
N/A,WS,36.34,1825744864.2469275,Non-Energy Minerals,Steel
7,WRK,49.2,12642763599.0,Process Industries,Containers/Packaging
9,WRBY,13.25,1565657060.0,Retail Trade,Specialty Stores
10,WRB/PH,19.68,22619896252.0,Finance,Property/Casualty Insurance
10,WRB/PG,20.37,22619896252.0,Finance,Property/Casualty Insurance
10,WRB/PF,22.71,22619896252.0,Finance,Property/Casualty Insurance
10,WRB/PE,25.58,22619896252.0,Finance,Property/Casualty Insurance
10,WRB,88.17,22619896252.0,Finance,Property/Casualty Insurance
7,WPP,46.82,9990287152.156,Commercial Services,Advertising/Marketing Services
9,WPM,46.27,20963514243.5563,Non-Energy Minerals,Precious Metals
7,WPC,55.97,12239096710.0,Finance,Real Estate Investment Trusts
9,WOR,61.96,3097652270.9999995,Producer Manufacturing,Industrial Machinery
7,WOLF,28.58,3595387409.0,Electronic Technology,Semiconductors
8,WNS,50.0,2340495750.0,Commercial Services,Miscellaneous Commercial Services
6,WNC,29.43,1326874776.0,Producer Manufacturing,Trucks/Construction/Farm Machinery
8,WMT,60.72,488965569244.0001,Retail Trade,Specialty Stores
9,WMS,171.44,13306629339.0,Producer Manufacturing,Miscellaneous Manufacturing
5,WMK,63.91,1719079502.0000002,Retail Trade,Food Retail
6,WMG,33.32,17255793233.0,Commercial Services,Commercial Printing/Forms
7,WMB,38.54,46893550819.0,Industrial Services,Oil & Gas Pipelines
