AveragePriceTarget,SmartScore,Ticker,Price,Market Capitalization,Sector,Industry,AveragePriceTarget_percent
33.82,8.0,XRAY,35.26,7470197318.234158,Health Technology,Medical Specialties,-4.083947816222342
23.5,4.0,XPRO,16.53,1829408599.1883,Energy Minerals,Oil & Gas Production,42.165759225650326
92.0,8.0,XPO,89.29,10355244375.485336,Transportation,Trucking,3.035054317392758
18.65,7.0,XPEV,13.9602,13156686950.144005,Consumer Durables,Motor Vehicles,33.59407458345867
79.33,5.0,XPEL,56.99,1574574114.6051562,Consumer Durables,Automotive Aftermarket,39.19985962449552
29.17,7.0,XP,25.76,14118624404.71605,Finance,Investment Banks/Brokers,13.237577639751551
129.0,7.0,XOM,102.47,410508492877.4048,Energy Minerals,Integrated Oil,25.890504537913536
38.75,7.0,XNCR,20.94,1274726686.9755385,Health Technology,Biotechnology,85.05253104106971
26.71,9.0,XMTR,34.22,1644988240.581382,Producer Manufacturing,Metal Fabrication,-21.946230274693157
14.33,6.0,XHR,13.71,1431786459.0,Finance,Real Estate Investment Trusts,4.522246535375632
55.6,7.0,XENE,43.0,3177323683.2169514,Health Technology,Pharmaceuticals: Major,29.302325581395355
64.3,6.0,XEL,61.94,34179499964.02536,Utilities,Electric Utilities,3.810138844042621
35.67,9.0,X,48.005,7738306209.207539,Non-Energy Minerals,Steel,-25.69524007915842
114.45,9.0,WYNN,90.36,10205799930.507936,Consumer Services,Casinos/Gaming,26.66002656042497
37.14,5.0,WY,34.35,24900333756.0,Finance,Real Estate Investment Trusts,8.122270742358076
144.83,7.0,WWD,134.54,8080211533.831537,Producer Manufacturing,Industrial Machinery,7.648283038501576
13.69,7.0,WU,11.905,4337694041.307239,Finance,Finance/Rental/Leasing,14.993700125997481
250.7,6.0,WTW,239.13,24692661637.127502,Finance,Insurance Brokers/Services,4.838372433404421
195.0,10.0,WTS,208.49,6948188685.475141,Producer Manufacturing,Industrial Machinery,-6.470334308599937
44.4,7.0,WTRG,37.43,10224595758.625645,Utilities,Water Utilities,18.621426663104458
,,WTFCP,24.9,5682743119.0,Finance,Regional Banks,
,,WTFCM,22.94,5682743119.0,Finance,Regional Banks,
94.44,6.0,WTFC,93.37,5717647898.933513,Finance,Regional Banks,1.145978365642062
8.15,6.0,WT,6.71,1008750221.5343282,Miscellaneous,Investment Trusts/Mutual Funds,21.46050670640835
391.0,8.0,WST,357.075,26419862073.157864,Health Technology,Medical Specialties,9.50080515297907
,,WSO.B,422.2,16577352099.606812,Producer Manufacturing,Building Products,
404.67,9.0,WSO,428.21,16878746173.947458,Producer Manufacturing,Building Products,-5.497302725298327
166.29,10.0,WSM,203.655,13063351053.731249,Retail Trade,Specialty Stores,-18.347204831700676
43.0,7.0,WSFS,46.145,2802472806.045691,Finance,Savings Banks,-6.8154729656517565
54.17,10.0,WSC,44.62,8550544076.26298,Finance,Finance/Rental/Leasing,21.402958314657116
,,WSBCP,23.98,1836260636.0,Finance,Regional Banks,
25.75,6.0,WSBC,30.86,1832104856.9983835,Finance,Regional Banks,-16.558651976668827
40.5,5.0,WRK,41.89,10745108391.59962,Process Industries,Containers/Packaging,-3.3182143709715937
17.13,5.0,WRBY,13.4,1573226912.6741574,Retail Trade,Specialty Stores,27.835820895522378
77.67,6.0,WRB/PH,20.32,17989154047.0,Finance,Property/Casualty Insurance,282.23425196850394
77.67,6.0,WRB/PG,21.63,17989154047.0,Finance,Property/Casualty Insurance,259.08460471567275
77.67,6.0,WRB/PF,23.22,17989154047.0,Finance,Property/Casualty Insurance,234.49612403100775
77.67,6.0,WRB/PE,24.46,17989154047.0,Finance,Property/Casualty Insurance,217.53883892068683
77.67,6.0,WRB,70.135,18085856064.884537,Finance,Property/Casualty Insurance,10.743565979895909
13.9,7.0,WPP,48.28,10211204494.107998,Commercial Services,Advertising/Marketing Services,-71.2096106048053
52.99,9.0,WPM,50.45,22853656326.905304,Non-Energy Minerals,Precious Metals,5.034687809712585
60.59,4.0,WPC,65.52,14222418950.0,Finance,Real Estate Investment Trusts,-7.524420024420014
50.0,7.0,WOR,58.26,2910986780.9617767,Non-Energy Minerals,Steel,-14.177823549605215
44.0,3.0,WOLF,44.97,5635879314.147058,Electronic Technology,Semiconductors,-2.1569935512563907
74.71,5.0,WNS,64.465,3030256042.0,Commercial Services,Miscellaneous Commercial Services,15.89234468316139
23.0,4.0,WNC,26.02,1199191663.315607,Producer Manufacturing,Trucks/Construction/Farm Machinery,-11.606456571867792
180.79,7.0,WMT,155.7,419180786413.0871,Retail Trade,Specialty Stores,16.114322414900453
153.4,8.0,WMS,140.335,10933196435.707497,Producer Manufacturing,Miscellaneous Manufacturing,9.309865678554884
38.18,6.0,WMG,35.3,18214637625.9932,Commercial Services,Commercial Printing/Forms,8.158640226628902
38.5,7.0,WMB,35.11,42711269345.95597,Industrial Services,Oil & Gas Pipelines,9.655368840786103
182.88,7.0,WM,177.3,71412086593.58917,Industrial Services,Environmental Services,3.147208121827402
,,WLYB,33.78,1857182681.1958208,Consumer Services,Publishing: Books/Magazines,
141.0,5.0,WLK,141.25,18099883071.29794,Process Industries,Chemicals: Specialty,-0.17699115044247787
22.0,5.0,WKC,23.2,1396682568.530559,Distribution Services,Wholesale Distributors,-5.172413793103446
115.83,1.0,WK,103.985,5620185137.233356,Technology Services,Information Technology Services,11.391066019137376
123.73,9.0,WIX,123.22,7043389721.344761,Technology Services,Information Technology Services,0.4138938484012377
4.6,6.0,WIT,5.49,27182455762.82976,Technology Services,Information Technology Services,-16.2112932604736
237.5,10.0,WIRE,216.2,3410837596.3152075,Producer Manufacturing,Electrical Products,9.851988899167443
230.0,5.0,WING,254.68,7491391674.413279,Consumer Services,Restaurants,-9.690592115596045
103.75,5.0,WHR,118.85,6519280284.296518,Consumer Durables,Electronics/Appliances,-12.70509045014724
53.6,4.0,WHD,46.19,3635890607.287536,Industrial Services,Oilfield Services/Equipment,16.04243342714874
88.57,6.0,WH,80.03,6639441269.577643,Consumer Services,Hotels/Resorts/Cruise lines,10.670998375609136
78.0,6.0,WGO,72.16,2109806062.222222,Consumer Durables,Recreational Products,8.093126385809319
120.75,9.0,WFRD,99.195,7153803910.448101,Industrial Services,Oilfield Services/Equipment,21.729925903523373
90.55,5.0,WFG,84.61,6974536331.399202,Non-Energy Minerals,Forest Products,7.020446755702633
51.64,8.0,WFC/PZ,20.21,179584583386.0,Finance,Major Banks,155.51707075705096
51.64,8.0,WFC/PY,24.22,179584583386.0,Finance,Major Banks,113.21222130470686
51.64,8.0,WFC/PR,25.07,179584583386.0,Finance,Major Banks,105.98324690865576
51.64,8.0,WFC/PL,1193.69,179584583386.0,Finance,Major Banks,-95.67391868910688
51.64,8.0,WFC/PD,18.13,179584583386.0,Finance,Major Banks,184.8317705460563
51.64,8.0,WFC/PC,18.94,179584583386.0,Finance,Major Banks,172.6504751847941
51.64,8.0,WFC/PA,20.25,179584583386.0,Finance,Major Banks,155.01234567901236
51.64,8.0,WFC,49.77,180746708091.4301,Finance,Major Banks,3.757283504118942
221.73,4.0,WEX,194.03,8292326098.990316,Commercial Services,Miscellaneous Commercial Services,14.276142864505484
31.0,7.0,WES,27.87,10577122022.723827,Industrial Services,Oil & Gas Pipelines,11.230714029422314
40.62,4.0,WERN,42.815,2714254619.576923,Transportation,Trucking,-5.126707929463974
21.93,7.0,WEN,19.75,4073623345.197669,Consumer Services,Restaurants,11.037974683544302
